Country,City,Scam Type,Description,Location,Prevention Tips,,,
Bahrain,Manama,Taxis Overcharging,Drivers refuse to use meters or take longer routes to inflate fares.,Airport,hotels,,,
Bahrain,Manama,Friendly ATM Helper,Someone offers assistance at ATMs and manipulates transactions.,ATM locations,"Decline help and cover your PIN while entering it <button class=""citation-flag"" data-index=""10"">.",,,
Bahrain,Manama,“Friendly” Bar Friends,People befriend tourists in bars and later demand money for drinks.,Nightclubs,lounges,,,
Bahrain,Manama,Bird Poop Scam,Scammers pretend bird droppings are on your clothes and clean them,demanding a tip.,Parks,,,
Bahrain,Manama,Guessing Game,Street vendors challenge tourists to guess hidden objects for prizes.,Markets,"Avoid participating in street games that seem too good to be true <button class=""citation-flag"" data-index=""10"">.",,,
Bahrain,Manama,Fake Tourist Attractions,Individuals claim access to exclusive sites for a fee but deliver nothing.,Popular tourist spots,"Research attractions beforehand and book through official channels <button class=""citation-flag"" data-index=""8"">.",,,
Bahrain,Manama,Phony Tour Guide Scams,Unlicensed guides offer tours and charge inflated fees.,Historical sites,"Only hire licensed guides and verify credentials <button class=""citation-flag"" data-index=""2"">.",,,
Bahrain,Manama,Counterfeit Goods,Vendors sell fake luxury items as authentic.,Informal markets,"Buy from reputable stores and inspect products closely <button class=""citation-flag"" data-index=""3"">.",,,
Bahrain,Manama,Hotel Transfer Rip-offs,Hotels arrange transfers that overcharge for airport pickups.,Airport arrival zones,"Compare transfer quotes and book directly through hotel websites <button class=""citation-flag"" data-index=""9"">.",,,
Bahrain,Manama,Fake Gem Sales,Peddlers sell counterfeit gems claiming they are valuable.,Marketplaces,"Authenticate gemstones through certified appraisers before purchasing <button class=""citation-flag"" data-index=""5"">.",,,
Bahrain,Manama,Restaurant Menu Pricing Tricks,Menus display misleading pricing strategies (e.g.,per piece vs. per dish).,Tourist restaurants,,,
Bahrain,Manama,Religious Site Entry Fees,Scammers demand entry fees at free religious sites pretending to be officials.,Mosques,churches,,,
Bahrain,Manama,Lost Wallet Scheme,Someone drops a wallet,picks it up,and tries to involve you in splitting found money.,,,
Bahrain,Manama,Souvenir Shop Pressure Sales,Shopkeepers pressure customers into buying unnecessary souvenirs.,Local markets,"Stay firm and leave if pressured; shop around first <button class=""citation-flag"" data-index=""6"">.",,,
Bahrain,Manama,Currency Exchange Scams,Exchangers manipulate calculations or switch notes during transactions.,Currency exchange offices,"Use official exchange counters and count your money carefully <button class=""citation-flag"" data-index=""6"">.",,,
Bahrain,Manama,Missing Change Scam,Shopkeepers claim there’s no change available and keep extra cash given.,Small shops,kiosks,,,
Bahrain,Manama,Scenic Taxi Rides,Taxis drive scenic routes instead of direct ones to inflate fares.,Sultanahmet,Taksim Square,,,
UAE,Dubai,Free Dinner Invitation,Strangers invite tourists to dinner but expect expensive tips afterward.,Beyoğlu,Galata,,,
UAE,Dubai,Property Misrepresentation,Real estate agents exaggerate property features to attract buyers.,Coastal regions,"Verify all claims through independent inspections and legal advice <button class=""citation-flag"" data-index=""2"">.",,,
UAE,Dubai,Fake Ownership Documents,Sellers present forged documents to deceive potential property buyers.,Urban centers,"Always use licensed real estate agents and verify documents officially <button class=""citation-flag"" data-index=""2"">.",,,
UAE,Dubai,Overpricing,Merchants charge exorbitant rates for goods/services aimed at tourists.,Souvenir shops,restaurants,,,
UAE,Dubai,Unlicensed Real Estate Agents,Unauthorized agents attempt to close deals without proper credentials.,Popular neighborhoods,"Ensure agents are registered with local authorities <button class=""citation-flag"" data-index=""2"">.",,,
UAE,Dubai,ATM Skimming,Criminals install devices on ATMs to steal card information.,Busy shopping streets,"Use ATMs inside banks and avoid those that appear tampered with <button class=""citation-flag"" data-index=""4"">.",,,
UAE,Dubai,Charity Donation Requests,People solicit donations for fake charities or personal hardships.,Religious sites,parks,,,
UAE,Dubai,Souvenir Shop Pressure Sales,Shopkeepers pressure customers into buying unnecessary souvenirs.,Local markets,"Stay firm and leave if pressured; shop around first <button class=""citation-flag"" data-index=""6"">.",,,
UAE,Dubai,Counterfeit Money,Some traders may try passing off fake currency as real.,Informal marketplaces,"Learn how to identify genuine bills and exchange money at trusted locations <button class=""citation-flag"" data-index=""5"">.",,,
UAE,Dubai,Ferry Ticket Overpricing,Tickets for ferries are sold at higher-than-normal rates to tourists.,Ports,"Purchase tickets from official booths or authorized resellers <button class=""citation-flag"" data-index=""5"">.",,,
UAE,Dubai,Art Gallery Commissions,Galleries convince visitors to purchase artworks under false pretenses.,Art districts,"Investigate gallery reputations and seek second opinions before buying <button class=""citation-flag"" data-index=""6"">.",,,
UAE,Dubai,Timeshare Offers,Companies push aggressive timeshare sales pitches with hidden costs.,Resort areas,"Understand terms fully and resist high-pressure tactics <button class=""citation-flag"" data-index=""7"">.",,,
UAE,Dubai,Fake Pharmacies,Unlicensed sellers offer medications at reduced prices.,Backstreets,"Only purchase medicine from licensed pharmacies <button class=""citation-flag"" data-index=""4"">.",,,
UAE,Dubai,Wi-Fi Password Scams,Cafés request payment for Wi-Fi access despite offering free service.,Coffee shops,"Confirm whether Wi-Fi is complimentary before providing payment <button class=""citation-flag"" data-index=""3"">.",,,
UAE,Dubai,Fortune Telling Fraud,So-called fortune tellers lure tourists with promises of insights.,Back alleys,tourist spots,,,
UAE,Dubai,Cave House Misleading Advertisements,Cave houses advertise luxurious accommodations but deliver substandard rooms.,Goreme area,"Review photos and testimonials before booking <button class=""citation-flag"" data-index=""2"">.",,,
UAE,Dubai,Historical Site Access Restrictions,Scammers block access to sites and charge unofficial entry fees.,Ancient city gates,"Enter through designated entrances and follow official signage <button class=""citation-flag"" data-index=""5"">.",,,
UAE,Dubai,Water Sports Equipment Rentals,Operators charge excessive fees for water sports gear rentals.,Beachfront,"Inquire about rental rates and agreements before agreeing to anything <button class=""citation-flag"" data-index=""7"">.",,,
UAE,Dubai,Language School Enrollment,Schools promise language courses but fail to deliver promised quality.,Educational districts,"Research schools extensively before enrolling <button class=""citation-flag"" data-index=""6"">.",,,
UAE,Dubai,Car Rental Hidden Fees,Car rental companies impose additional charges not disclosed upfront.,Rental car desks,"Carefully review contracts and question any unclear clauses <button class=""citation-flag"" data-index=""4"">.",,,
UAE,Dubai,Souvenir Reproductions,Authentic-looking replicas of traditional crafts are sold as originals.,Craft markets,"Authenticate craftsmanship by consulting experts or researching beforehand <button class=""citation-flag"" data-index=""3"">.",,,
UAE,Dubai,Train Ticket Reservations,Scammers sell duplicate or invalid train tickets to unsuspecting travelers.,Train stations,"Buy tickets directly from railway offices or authorized websites <button class=""citation-flag"" data-index=""7"">.",,,
UAE,Dubai,Internet Café Credit Card Theft,Users enter credit card details on compromised computers.,Internet cafés,"Avoid entering sensitive information on public computers <button class=""citation-flag"" data-index=""1"">.",,,
UAE,Dubai,Horseback Riding Price Hikes,Riding stables increase prices once rides begin.,Countryside trails,"Secure written agreements detailing costs prior to starting rides <button class=""citation-flag"" data-index=""6"">.",,,
UAE,Dubai,Historical Replica Sales,Dealers pass off modern reproductions as ancient artifacts.,Near archaeological sites,"Educate yourself on distinguishing features of authentic pieces <button class=""citation-flag"" data-index=""5"">.",,,
